,,,,,,GPS START,,,ELECTROFISHING POSITION,,,TOTAL ,,,,
TRIBUTARY,REACH,DATE,TIME,AIR TEMP,H2O TEMP,X,Y,SAMPLERS,START,STOP,SPECIES,LENGTH,WEIGHT,GENETICS,PASS NO.,COMMENTS
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,WCT,95,9,,2,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,WCT,84,6,,2,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,WCT,78,6,,2,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,WCT,156,36,,2,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,BKT,65,3,,2,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,BKT,163,34,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,BKT,99,8,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,BKT,155,35,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,BKT,211,100,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,BKT,165,46,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,BKT,170,46,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,154,35,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,95,8,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,91,9,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,141,28,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,135,23,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,130,23,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,81,6,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,81,5,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,82,5,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,82,5,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,60,2,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,BKT,91,7,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,123,16,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,BKT,99,8,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,76,4,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,BKT,155,34,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,90,7,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,88,7,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,160,37,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,95,7,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,135,22,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,BKT,112,13,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,BKT,105,10,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,88,7,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,95,9,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,BKT,93,7,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,159,42,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,110,12,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,131,19,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,94,8,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,BKT,171,52,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,BKT,115,13,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,BKT,120,16,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,BKT,110,12,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,89,6,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,36,,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,33,,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,0,1640,WCT,36,,,1,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,WCT,130,18,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,WCT,141,24,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,WCT,93,8,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,WCT,129,20,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,WCT,128,20,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,BKT,158,42,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,WCT,124,18,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,BKT,127,19.9,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,BKT,145,29.5,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,WCT,124,17.9,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,WCT,130,21.2,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,BKT,130,17.7,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,BKT,120,15.5,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,WCT,177,56.6,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,BKT,144,28,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,WCT,98,8.2,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,WCT,80,4.4,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,WCT,92,6.7,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,WCT,240,131.7,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,WCT,121,19.5,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,WCT,143,27.2,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,WCT,62,2.2,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,WCT,80,4.6,,2,
Big Creek,4,7/31/13,1410,23,11.5,48.32506,116.76544,TA TS TR,1640,2869,BKT,104,10.5,,2,
Big Creek,,8/6/13,,,14,48.32831,116.84554,,,,WCT,87,6,21,,GENETICS ONLY
Big Creek,,8/6/13,,,14,48.32831,116.84554,,,,WCT,91,8,22,,GENETICS ONLY
Big Creek,,8/6/13,,,14,48.32831,116.84554,,,,WCT,118,15,37,,GENETICS ONLY
Big Creek,,8/6/13,,,14,48.32831,116.84554,,,,WCT,100,10,126,,GENETICS ONLY
Big Creek,,8/6/13,,,14,48.32831,116.84554,,,,WCT,108,12,128,,GENETICS ONLY
Big Creek,,8/6/13,,,14,48.32831,116.84554,,,,WCT,137,21,200,,GENETICS ONLY
Big Creek,,8/6/13,,,14,48.32831,116.84554,,,,WCT,80,5,202,,GENETICS ONLY
Big Creek,,8/6/13,,,14,48.32831,116.84554,,,,WCT,120,15,203,,GENETICS ONLY
Big Creek,,8/6/13,,,14,48.32831,116.84554,,,,WCT,72,4,211,,GENETICS ONLY
Big Creek,,8/6/13,,,14,48.32831,116.84554,,,,WCT,96,8,217,,GENETICS ONLY
Big Creek,,8/6/13,,,14,48.32831,116.84554,,,,WCT,100,9,340,,GENETICS ONLY
Big Creek,,8/6/13,,,14,48.32831,116.84554,,,,WCT,136,22,344,,GENETICS ONLY
Big Creek,,8/6/13,,,14,48.32831,116.84554,,,,WCT,91,7,351,,GENETICS ONLY
Big Creek,,8/6/13,,,14,48.32831,116.84554,,,,WCT,154,33,375,,GENETICS ONLY
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,123,17.2,429,1,PASS 1 SCU = 8 YOY = 3
Big Creek,,8/6/13,,,14,48.32831,116.84554,,,,WCT,145,28,430,,GENETICS ONLY
Big Creek,,8/6/13,,,14,48.32831,116.84554,,,,WCT,106,10,431,,GENETICS ONLY
Big Creek,6,8/6/13,1045,18,10,48.32925,116.75133,SH CR TS,0,1411,WCT,111,12.3,433,2,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,68,3,434,1,
Big Creek,,8/6/13,,,14,48.32831,116.84554,,,,WCT,106,11,436,,GENETICS ONLY
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,186,55,437,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,80,6,438,1,
Big Creek,,8/6/13,,,14,48.32831,116.84554,,,,WCT,113,13,444,,GENETICS ONLY
Big Creek,,8/6/13,,,14,48.32831,116.84554,,,,WCT,102,10,450,,GENETICS ONLY
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,156,36,,1,15 SCU IN PASS 1
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,BKT,174,57,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,204,96,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,BKT,162,44,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,176,59,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,130,21,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,184,88,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,BKT,167,37,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,166,45,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,155,35,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,BKT,148,37,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,BKT,157,49,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,176,58,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,113,19,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,124,22,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,BKT,207,98,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,118,17,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,BKT,145,33,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,155,37,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,BKT,151,32,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,194,89,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,128,19,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,92,6,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,BKT,167,48,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,135,19,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,BKT,145,36,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,68,2,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,69,2,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,81,3,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,68,2,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,BKT,152,36,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,124,14,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,126,15,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,BKT,144,,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,127,,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,112,,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,128,,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,BKT,108,,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,80,,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1547,WCT,164,,,1,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1122,BKT,136,,,2,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1122,WCT,148,,,2,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1122,WCT,162,,,2,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1122,BKT,150,,,2,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1122,WCT,88,,,2,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1122,WCT,141,,,2,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1122,BKT,130,,,2,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1122,WCT,92,,,2,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1122,WCT,96,,,2,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1122,WCT,101,,,2,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1122,WCT,81,,,2,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1122,WCT,38,,,2,
Big Creek,5,8/6/13,1330,18,11,48.32706,116.75887,SH CR TS,0,1122,WCT,39,,,2,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,149,30.3,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,106,11.8,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,98,10.1,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,107,12.2,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,78,5.8,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,58,1.5,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,106,13,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,63,2.7,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,58,3,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,198,69,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,201,73,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,164,43,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,113,14,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,100,9,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,34,,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,162,46,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,78,6,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,34,,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,181,61,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,113,13,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,92,6,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,BKT,188,61,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,BKT,208,47,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,148,30,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,149,30,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,106,11,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,70,4,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,120,16,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,136,21,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,104,8,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,83,5,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,106,8,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,BKT,48,,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,106,11,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,138,24,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,154,35,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,154,30,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,134,22,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,116,13,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,BKT,142,29,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,79,3,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,140,21,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,84,4,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,79,3,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,131,19,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,128,16,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,91,4,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,78,2,,1,
Big Creek,6,8/6/13,930,18,,48.32925,116.75133,SH CR TS,0,1843,WCT,128,16,,1,
Big Creek,6,8/6/13,1045,18,10,48.32925,116.75133,SH CR TS,0,1411,WCT,212,84,,2,"PASS 2 SCU = 12, YOY = 1"
Big Creek,6,8/6/13,1045,18,10,48.32925,116.75133,SH CR TS,0,1411,WCT,151,33,,2,
Big Creek,6,8/6/13,1045,18,10,48.32925,116.75133,SH CR TS,0,1411,WCT,136,24,,2,
Big Creek,6,8/6/13,1045,18,10,48.32925,116.75133,SH CR TS,0,1411,WCT,158,40,,2,
Big Creek,6,8/6/13,1045,18,10,48.32925,116.75133,SH CR TS,0,1411,WCT,107,14,,2,
Big Creek,6,8/6/13,1045,18,10,48.32925,116.75133,SH CR TS,0,1411,WCT,127,24,,2,
Big Creek,6,8/6/13,1045,18,10,48.32925,116.75133,SH CR TS,0,1411,WCT,68,2,,2,
Big Creek,6,8/6/13,1045,18,10,48.32925,116.75133,SH CR TS,0,1411,WCT,170,46,,2,
Big Creek,6,8/6/13,1045,18,10,48.32925,116.75133,SH CR TS,0,1411,WCT,163,38,,2,
Big Creek,6,8/6/13,1045,18,10,48.32925,116.75133,SH CR TS,0,1411,WCT,85,6,,2,
Big Creek,6,8/6/13,1045,18,10,48.32925,116.75133,SH CR TS,0,1411,WCT,74,4,,2,
Big Creek,6,8/6/13,1045,18,10,48.32925,116.75133,SH CR TS,0,1411,WCT,61,3,,2,
Big Creek,6,8/6/13,1045,18,10,48.32925,116.75133,SH CR TS,0,1411,WCT,31,,,2,
Big Creek,,8/7/13,920,17,10,,,TA SH TR,,,WCT,117,13.6,432,,GENETICS ONLY
Big Creek,,8/7/13,920,17,10,,,TA SH TR,,,WCT,94,7.9,439,,GENETICS ONLY
Big Creek,,8/7/13,920,17,10,,,TA SH TR,,,WCT,90,4.3,440,,GENETICS ONLY
Big Creek,,8/7/13,920,17,10,,,TA SH TR,,,WCT,85,5.9,447,,GENETICS ONLY
Big Creek,,8/7/13,920,17,10,,,TA SH TR,,,WCT,139,24.2,449,,GENETICS ONLY
Big Creek,,8/7/13,920,17,10,,,TA SH TR,,,WCT,166,39.3,453,,GENETICS ONLY
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,13396,14063,BKT,168,58.3,,1,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,13396,14063,BKT,127,19,,1,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,13396,14063,WCT,125,17,,1,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,13396,14063,BKT,130,25,,1,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,13396,14063,BKT,145,28,,1,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,13396,14063,BKT,170,49,,1,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,13396,14063,BKT,195,75,,1,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,13396,14063,BKT,130,27,,1,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,13396,14063,BKT,124,16,,1,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,13396,14063,BKT,145,35,,1,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,13396,14063,BKT,150,39,,1,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,13396,14063,WCT,85,6,,1,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,13396,14063,BKT,142,27,,1,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,13396,14063,BKT,131,26,,1,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,13396,14063,BKT,122,14,,1,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,13396,14063,BKT,141,26,,1,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,13396,14063,WCT,92,7,,1,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,13396,14063,BKT,120,11,,1,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,13396,14063,BKT,127,17,,1,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,14063,14633,BKT,125,21,,2,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,14063,14633,BKT,122,20,,2,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,14063,14633,WCT,113,14,,2,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,14063,14633,BKT,115,12,,2,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,14063,14633,BKT,150,30,,2,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,14063,14633,BKT,136,21,,2,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,14063,14633,WCT,120,15,,2,
Happy Fork Creek,1,7/31/13,1400,,10,48.31665,116.77671,RM CL LA,14063,14633,BKT,148,27,,2,
Happy Fork Creek,2,8/1/13,1015,,10,48.30758,116.75851,RM SH LA,0,1465,WCT,123,19,347,1,
Happy Fork Creek,2,8/1/13,1015,,10,48.30758,116.75851,RM SH LA,0,1465,BKT,150,30,,1,
Happy Fork Creek,2,8/1/13,1015,,10,48.30758,116.75851,RM SH LA,0,1465,BKT,160,39,,1,
Happy Fork Creek,2,8/1/13,1015,,10,48.30758,116.75851,RM SH LA,0,1465,BKT,160,40,,1,
