,,,,,,GPS START,,,ELECTROFISHING POSITION,,,TOTAL ,,,,
TRIBUTARY,REACH,DATE,TIME,AIR TEMP,H2O TEMP,X,Y,SAMPLERS,START,STOP,SPECIES,LENGTH,WEIGHT,GENETICS,PASS NO.,COMMENTS
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,63,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,62,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,57,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,66,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,WCT,40,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,BKT,61,2,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,84,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,52,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,90,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,48,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,BKT,50,1,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,75,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,55,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,78,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,76,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,74,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,75,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,BKT,56,2,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,61,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,66,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,45,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,64,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,62,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,41,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,0,1830,SCU,47,,,1,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,1830,3268,BKT,117,15,,2,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,1830,3268,WCT,111,12,,2,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,1830,3268,WCT,95,8,,2,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,1830,3268,BKT,51,2,,2,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,1830,3268,WCT,100,9,,2,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,1830,3268,WCT,45,,,2,
Big Creek,1,7/30/13,950,21,,48.32611,116.84164,TA SH TR,1830,3268,WCT,92,7,,2,MORT
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,WCT,34,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,WCT,44,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,WCT,41,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,66,2,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,53,2,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,BKT,65,2,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,WCT,46,,,1,
Big Creek,2,7/30/13,1200,24,,48.32094,116.82425,TA SH TR,0,2308,WCT,35,,,1,
